Slug,:draft,Logotype,Division,LockUp,Color,Optical-Size,®-Symbol,Image,Image:alt,SVG,PDF,PNG,JPEG
korte-hoffmann-g-l-r,false,KORTE HOFFMANN,G,R,,L,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Right_White.svg,"KORTE HOFFMANN G Logo, Größe L, Rechts",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Right_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Right_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Right_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Right_Color (Dark).jpg
korte-hoffmann-g-l-r-no-r,false,KORTE HOFFMANN,G,R,,L,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Right_White_No-(R).svg,"KORTE HOFFMANN G Logo, Größe L, Rechts, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Right_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Right_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Right_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Right_Color (Dark)_No-(R).jpg
korte-hoffmann-g-m-c,false,KORTE HOFFMANN,G,C,,M,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Center_White.svg,"KORTE HOFFMANN G Logo, Größe M, Zentriert",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Center_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Center_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Center_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Center_Color (Dark).jpg
korte-hoffmann-g-m-c-no-r,false,KORTE HOFFMANN,G,C,,M,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Center_White_No-(R).svg,"KORTE HOFFMANN G Logo, Größe M, Zentriert, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Center_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Center_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Center_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Center_Color (Dark)_No-(R).jpg
korte-hoffmann-g-m-l,false,KORTE HOFFMANN,G,L,,M,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Left_White.svg,"KORTE HOFFMANN G Logo, Größe M, Links",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Left_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Left_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Left_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Left_Color (Dark).jpg
korte-hoffmann-g-m-l-no-r,false,KORTE HOFFMANN,G,L,,M,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Left_White_No-(R).svg,"KORTE HOFFMANN G Logo, Größe M, Links, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Left_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Left_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Left_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Left_Color (Dark)_No-(R).jpg
korte-hoffmann-g-m-r,false,KORTE HOFFMANN,G,R,,M,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Right_White.svg,"KORTE HOFFMANN G Logo, Größe M, Rechts",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Right_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Right_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Right_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Right_Color (Dark).jpg
korte-hoffmann-g-m-r-no-r,false,KORTE HOFFMANN,G,R,,M,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Right_White_No-(R).svg,"KORTE HOFFMANN G Logo, Größe M, Rechts, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Right_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Right_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Right_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Right_Color (Dark)_No-(R).jpg
korte-hoffmann-g-s-c,false,KORTE HOFFMANN,G,C,,S,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Center_White.svg,"KORTE HOFFMANN G Logo, Größe S, Zentriert",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Center_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Center_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Center_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Center_Color (Dark).jpg
korte-hoffmann-g-s-c-no-r,false,KORTE HOFFMANN,G,C,,S,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Center_White_No-(R).svg,"KORTE HOFFMANN G Logo, Größe S, Zentriert, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Center_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Center_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Center_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Center_Color (Dark)_No-(R).jpg
korte-hoffmann-g-s-l,false,KORTE HOFFMANN,G,L,,S,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Left_White.svg,"KORTE HOFFMANN G Logo, Größe S, Links",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Left_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Left_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Left_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Left_Color (Dark).jpg
korte-hoffmann-g-s-l-no-r,false,KORTE HOFFMANN,G,L,,S,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Left_White_No-(R).svg,"KORTE HOFFMANN G Logo, Größe S, Links, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Left_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Left_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Left_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Left_Color (Dark)_No-(R).jpg
korte-hoffmann-g-s-r,false,KORTE HOFFMANN,G,R,,S,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Right_White.svg,"KORTE HOFFMANN G Logo, Größe S, Rechts",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Right_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Right_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Right_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Right_Color (Dark).jpg
korte-hoffmann-g-s-r-no-r,false,KORTE HOFFMANN,G,R,,S,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Right_White_No-(R).svg,"KORTE HOFFMANN G Logo, Größe S, Rechts, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Right_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Right_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Right_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Right_Color (Dark)_No-(R).jpg
korte-hoffmann-gr-l-c,false,KORTE HOFFMANN,GR,C,,L,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Center_White.svg,"KORTE HOFFMANN GR Logo, Größe L, Zentriert",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Center_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Center_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Center_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Center_Black.jpg
korte-hoffmann-gr-l-c-no-r,false,KORTE HOFFMANN,GR,C,,L,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Center_White_No-(R).svg,"KORTE HOFFMANN GR Logo, Größe L, Zentriert, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Center_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Center_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Center_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Center_Black_No-(R).jpg
korte-hoffmann-gr-l-l,false,KORTE HOFFMANN,GR,L,,L,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Left_White.svg,"KORTE HOFFMANN GR Logo, Größe L, Links",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Left_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Left_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Left_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Left_Black.jpg
korte-hoffmann-gr-l-l-no-r,false,KORTE HOFFMANN,GR,L,,L,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Left_White_No-(R).svg,"KORTE HOFFMANN GR Logo, Größe L, Links, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Left_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Left_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Left_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Left_Black_No-(R).jpg
korte-hoffmann-gr-l-r,false,KORTE HOFFMANN,GR,R,,L,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Right_White.svg,"KORTE HOFFMANN GR Logo, Größe L, Rechts",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Right_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Right_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Right_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Right_Black.jpg
korte-hoffmann-gr-l-r-no-r,false,KORTE HOFFMANN,GR,R,,L,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Right_White_No-(R).svg,"KORTE HOFFMANN GR Logo, Größe L, Rechts, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Right_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Right_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Right_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Right_Black_No-(R).jpg
korte-hoffmann-gr-m-c,false,KORTE HOFFMANN,GR,C,,M,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Center_White.svg,"KORTE HOFFMANN GR Logo, Größe M, Zentriert",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Center_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Center_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Center_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Center_Black.jpg
korte-hoffmann-gr-m-c-no-r,false,KORTE HOFFMANN,GR,C,,M,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Center_White_No-(R).svg,"KORTE HOFFMANN GR Logo, Größe M, Zentriert, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Center_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Center_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Center_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Center_Black_No-(R).jpg
korte-hoffmann-gr-m-l,false,KORTE HOFFMANN,GR,L,,M,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Left_White.svg,"KORTE HOFFMANN GR Logo, Größe M, Links",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Left_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Left_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Left_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Left_Black.jpg
korte-hoffmann-gr-m-l-no-r,false,KORTE HOFFMANN,GR,L,,M,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Left_White_No-(R).svg,"KORTE HOFFMANN GR Logo, Größe M, Links, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Left_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Left_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Left_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Left_Black_No-(R).jpg
korte-hoffmann-gr-m-r,false,KORTE HOFFMANN,GR,R,,M,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Right_White.svg,"KORTE HOFFMANN GR Logo, Größe M, Rechts",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Right_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Right_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Right_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Right_Black.jpg
korte-hoffmann-gr-m-r-no-r,false,KORTE HOFFMANN,GR,R,,M,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Right_White_No-(R).svg,"KORTE HOFFMANN GR Logo, Größe M, Rechts, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Right_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Right_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Right_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Right_Black_No-(R).jpg
korte-hoffmann-gr-s-c,false,KORTE HOFFMANN,GR,C,,S,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Center_White.svg,"KORTE HOFFMANN GR Logo, Größe S, Zentriert",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Center_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Center_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Center_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Center_Black.jpg
korte-hoffmann-gr-s-c-no-r,false,KORTE HOFFMANN,GR,C,,S,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Center_White_No-(R).svg,"KORTE HOFFMANN GR Logo, Größe S, Zentriert, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Center_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Center_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Center_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Center_Black_No-(R).jpg
korte-hoffmann-gr-s-l,false,KORTE HOFFMANN,GR,L,,S,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Left_White.svg,"KORTE HOFFMANN GR Logo, Größe S, Links",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Left_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Left_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Left_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Left_Black.jpg
korte-hoffmann-gr-s-l-no-r,false,KORTE HOFFMANN,GR,L,,S,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Left_White_No-(R).svg,"KORTE HOFFMANN GR Logo, Größe S, Links, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Left_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Left_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Left_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Left_Black_No-(R).jpg
korte-hoffmann-gr-s-r,false,KORTE HOFFMANN,GR,R,,S,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Right_White.svg,"KORTE HOFFMANN GR Logo, Größe S, Rechts",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Right_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Right_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Right_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Right_Black.jpg
korte-hoffmann-gr-s-r-no-r,false,KORTE HOFFMANN,GR,R,,S,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Right_White_No-(R).svg,"KORTE HOFFMANN GR Logo, Größe S, Rechts, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Right_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Right_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Right_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Right_Black_No-(R).jpg
korte-hoffmann-i-l-c,false,KORTE HOFFMANN,I,C,,L,true,,"KORTE HOFFMANN I Logo, Größe L, Zentriert",,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Center_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Center_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Center_Color%20(Dark).jpg
