Slug,:draft,Logotype,Division,LockUp,Color,Optical-Size,®-Symbol,Image,Image:alt,SVG,PDF,PNG,JPEG
korte-hoffmann-ai-l-l,false,KORTE HOFFMANN,A+I,L,,L,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Left_White.svg,"KORTE HOFFMANN A+I Logo, Größe L, Links",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Left_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Left_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Left_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Left_Color (Dark).jpg
korte-hoffmann-ai-l-l-no-r,false,KORTE HOFFMANN,A+I,L,,L,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Left_White_No-(R).svg,"KORTE HOFFMANN A+I Logo, Größe L, Links, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Left_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Left_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Left_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Left_Color (Dark)_No-(R).jpg
korte-hoffmann-ai-l-r,false,KORTE HOFFMANN,A+I,R,,L,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Right_White.svg,"KORTE HOFFMANN A+I Logo, Größe L, Rechts",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Right_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Right_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Right_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Right_Color (Dark).jpg
korte-hoffmann-ai-l-r-no-r,false,KORTE HOFFMANN,A+I,R,,L,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Right_White_No-(R).svg,"KORTE HOFFMANN A+I Logo, Größe L, Rechts, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Right_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Right_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Right_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Right_Color (Dark)_No-(R).jpg
korte-hoffmann-ai-m-c,false,KORTE HOFFMANN,A+I,C,,M,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Center_White.svg,"KORTE HOFFMANN A+I Logo, Größe M, Zentriert",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Center_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Center_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Center_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Center_Color (Dark).jpg
korte-hoffmann-ai-m-c-no-r,false,KORTE HOFFMANN,A+I,C,,M,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Center_White_No-(R).svg,"KORTE HOFFMANN A+I Logo, Größe M, Zentriert, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Center_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Center_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Center_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Center_Color (Dark)_No-(R).jpg
korte-hoffmann-ai-m-l,false,KORTE HOFFMANN,A+I,L,,M,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Left_White.svg,"KORTE HOFFMANN A+I Logo, Größe M, Links",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Left_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Left_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Left_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Left_Color (Dark).jpg
korte-hoffmann-ai-m-l-no-r,false,KORTE HOFFMANN,A+I,L,,M,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Left_White_No-(R).svg,"KORTE HOFFMANN A+I Logo, Größe M, Links, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Left_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Left_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Left_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Left_Color (Dark)_No-(R).jpg
korte-hoffmann-ai-m-r,false,KORTE HOFFMANN,A+I,R,,M,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Right_White.svg,"KORTE HOFFMANN A+I Logo, Größe M, Rechts",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Right_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Right_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Right_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Right_Color (Dark).jpg
korte-hoffmann-ai-m-r-no-r,false,KORTE HOFFMANN,A+I,R,,M,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Right_White_No-(R).svg,"KORTE HOFFMANN A+I Logo, Größe M, Rechts, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Right_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Right_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Right_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Right_Color (Dark)_No-(R).jpg
